Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
X6,2014,Europe,Blue,Diesel,Automatic,1.7,105592,100663,9100,High
X5,2017,South America,Grey,Petrol,Manual,3.7,31779,83059,6844,Low
5 Series,2021,Asia,Blue,Electric,Manual,1.6,140059,82668,271,Low
X3,2021,Middle East,Grey,Electric,Automatic,4.3,63050,107348,2451,Low
X5,2018,Middle East,Black,Petrol,Manual,3.8,159629,117084,3275,Low
X6,2024,North America,White,Petrol,Manual,2.4,120004,109733,8345,High
i8,2010,North America,White,Electric,Automatic,2.5,75457,101282,8396,High
5 Series,2018,Middle East,Grey,Petrol,Automatic,3.3,45371,87345,1299,Low
X6,2018,Europe,Silver,Hybrid,Manual,1.7,10316,117764,5637,Low
7 Series,2021,South America,Blue,Petrol,Automatic,1.9,68969,111071,5908,Low
M5,2017,Asia,Blue,Diesel,Manual,5.0,51891,103316,1732,Low
i3,2024,South America,White,Hybrid,Automatic,2.1,197241,106619,719,Low
M5,2010,South America,White,Diesel,Manual,2.8,121393,108152,7139,High
i3,2017,North America,Silver,Hybrid,Manual,3.7,70038,102447,2694,Low
X5,2012,North America,White,Petrol,Automatic,4.2,172752,85983,3403,Low
i3,2012,Africa,Blue,Petrol,Automatic,2.9,93629,99958,8216,High
3 Series,2010,Asia,Black,Petrol,Manual,2.1,107572,86660,8650,High
3 Series,2020,North America,Silver,Hybrid,Automatic,3.0,158046,78509,8070,High
X6,2014,Middle East,Black,Electric,Automatic,4.2,3374,84798,169,Low
5 Series,2019,South America,Red,Hybrid,Manual,4.2,132625,88464,6353,Low
7 Series,2018,Middle East,Black,Electric,Automatic,4.7,38502,85604,5312,Low
M3,2021,North America,Grey,Diesel,Manual,1.7,54226,116198,7059,High
X1,2016,Africa,Grey,Petrol,Manual,4.1,172950,119996,9620,High
7 Series,2017,Europe,White,Petrol,Manual,4.4,185687,106473,8666,High
5 Series,2011,Europe,Black,Diesel,Automatic,2.5,116859,103384,9334,High
5 Series,2016,Europe,Silver,Petrol,Manual,3.2,167770,119412,8291,High
M5,2023,Asia,Red,Electric,Manual,3.0,130509,94884,9645,High
3 Series,2017,Europe,Grey,Petrol,Manual,3.8,89365,86684,9474,High
i8,2017,Middle East,Grey,Petrol,Manual,3.8,110899,71690,1697,Low
3 Series,2020,South America,Black,Electric,Automatic,3.8,55451,79774,1142,Low
X3,2012,North America,White,Diesel,Automatic,2.3,121703,116468,8333,High
3 Series,2024,Africa,Grey,Electric,Manual,4.3,69653,113482,4956,Low
X5,2023,South America,Black,Diesel,Manual,4.4,183143,86846,5598,Low
X1,2012,Europe,Silver,Electric,Manual,3.9,63716,74494,6791,Low
i3,2010,Africa,Blue,Diesel,Manual,1.8,120482,101137,968,Low
X1,2014,South America,Blue,Hybrid,Automatic,3.5,148268,109617,8217,High
3 Series,2019,Africa,Silver,Electric,Manual,4.4,33051,108637,5548,Low
M5,2016,Asia,Silver,Diesel,Automatic,2.9,163812,88181,148,Low
3 Series,2024,South America,Blue,Hybrid,Automatic,2.2,69698,79650,6447,Low
X5,2016,North America,Silver,Hybrid,Automatic,4.4,118309,99967,8127,High
i3,2018,Asia,Blue,Hybrid,Manual,3.6,198246,91547,9832,High
X1,2024,Asia,Grey,Hybrid,Automatic,3.8,198285,102818,3880,Low
i8,2019,Middle East,Silver,Diesel,Manual,3.7,124371,96066,8537,High
3 Series,2012,South America,Blue,Petrol,Manual,3.7,78678,96429,6974,Low
X1,2024,Middle East,Grey,Electric,Manual,1.6,190540,112644,2922,Low
3 Series,2013,South America,Black,Electric,Automatic,2.3,173100,101189,1476,Low
3 Series,2022,South America,Red,Electric,Automatic,3.6,68978,107968,4129,Low
3 Series,2023,Asia,Grey,Diesel,Manual,2.4,58991,84635,3507,Low
X1,2014,Europe,Blue,Hybrid,Manual,3.1,48040,77484,9106,High
3 Series,2016,Europe,White,Electric,Automatic,4.7,149253,71328,3222,Low
X5,2016,Africa,White,Electric,Manual,3.0,146541,72024,9331,High
X5,2022,Africa,White,Electric,Automatic,3.7,123227,72436,5761,Low
i3,2024,Middle East,Blue,Diesel,Manual,1.6,17798,93997,6920,Low
X3,2022,Africa,Black,Petrol,Manual,1.8,10590,105924,5139,Low
3 Series,2016,Africa,Black,Petrol,Automatic,2.3,189931,71591,6640,Low
X5,2020,Europe,Blue,Diesel,Manual,4.1,127392,86328,8960,High
3 Series,2015,Europe,Red,Hybrid,Manual,2.4,191042,89156,7342,High
X1,2021,South America,Grey,Diesel,Automatic,3.0,37616,79927,1057,Low
X3,2022,North America,Grey,Electric,Manual,2.7,21607,74435,9536,High
X3,2023,Asia,Blue,Petrol,Automatic,2.9,87564,103988,5141,Low
M3,2018,Asia,Silver,Electric,Manual,4.5,66023,73953,1659,Low
X3,2014,South America,White,Hybrid,Manual,4.6,195047,106673,4699,Low
3 Series,2021,Asia,White,Hybrid,Manual,3.8,157700,87186,5065,Low
X1,2023,Asia,White,Hybrid,Automatic,3.4,84606,89868,3445,Low
X5,2023,Asia,Silver,Electric,Automatic,1.9,34635,87087,3372,Low
i8,2020,North America,Blue,Electric,Manual,4.3,191305,70057,7327,High
X3,2019,Middle East,Grey,Electric,Manual,4.2,17934,111173,808,Low
X1,2021,North America,Grey,Petrol,Automatic,2.2,184417,76909,6636,Low
i8,2016,North America,Blue,Hybrid,Manual,2.5,145112,82447,1206,Low
X1,2023,Asia,Silver,Petrol,Manual,3.3,66862,80705,7058,High
i8,2010,South America,Red,Hybrid,Automatic,2.0,49903,92666,9368,High
i8,2018,Asia,Red,Petrol,Manual,2.1,61031,116846,6121,Low
X6,2020,South America,Blue,Diesel,Automatic,2.4,135437,114860,9792,High
7 Series,2018,Africa,Silver,Electric,Manual,4.5,198286,96859,8022,High
X6,2013,Asia,Red,Petrol,Automatic,1.6,74914,107293,3205,Low
X1,2012,North America,Black,Electric,Manual,1.8,80289,100980,3581,Low
M5,2016,North America,Silver,Electric,Automatic,4.0,67272,78120,381,Low
M5,2015,North America,White,Petrol,Manual,4.1,54534,94839,3880,Low
3 Series,2017,North America,Blue,Petrol,Manual,4.3,86002,100678,2815,Low
X1,2018,Africa,White,Petrol,Automatic,4.5,104441,79035,1036,Low
X1,2012,Africa,White,Electric,Automatic,4.3,185093,108905,5952,Low
3 Series,2021,South America,Black,Electric,Automatic,2.0,162323,72641,4298,Low
5 Series,2017,Europe,Silver,Electric,Manual,3.7,69712,82957,8127,High
M3,2024,Africa,White,Hybrid,Manual,1.8,2655,91248,8772,High
X3,2020,Asia,Silver,Hybrid,Manual,1.7,66746,113110,3430,Low
7 Series,2017,North America,White,Hybrid,Manual,1.5,7334,77120,6825,Low
X1,2018,Asia,Black,Hybrid,Manual,3.9,13275,79969,9134,High
X1,2013,South America,Blue,Hybrid,Manual,3.5,128136,101839,125,Low
X5,2010,Africa,Black,Diesel,Automatic,2.2,187108,105887,5236,Low
X1,2019,Europe,White,Hybrid,Automatic,3.3,106294,102607,7920,High
i8,2013,Europe,Red,Diesel,Manual,3.9,106314,113159,113,Low
7 Series,2023,Asia,Blue,Diesel,Automatic,2.3,52061,96938,1714,Low
X5,2016,North America,White,Petrol,Manual,4.9,88027,103663,9847,High
3 Series,2011,Asia,Blue,Diesel,Automatic,3.5,196822,74108,4182,Low
X3,2010,Middle East,Red,Diesel,Automatic,2.9,35130,113525,6461,Low
M3,2014,Europe,Blue,Hybrid,Automatic,2.7,129742,111245,9520,High
X5,2010,North America,Grey,Diesel,Manual,4.6,53211,116928,9850,High
M3,2020,South America,Grey,Petrol,Manual,2.2,154481,100103,9122,High
i3,2011,North America,Grey,Electric,Automatic,2.2,131725,73410,6205,Low
i3,2015,Europe,Grey,Electric,Manual,3.9,20717,79002,1402,Low
M3,2014,Europe,White,Petrol,Manual,4.0,29746,103056,7577,High
3 Series,2023,Africa,Black,Petrol,Manual,4.6,95366,101460,3182,Low
i3,2011,Africa,White,Diesel,Manual,1.6,97680,115240,5797,Low
X3,2014,Africa,Red,Diesel,Manual,2.5,198457,114845,577,Low
i3,2021,Europe,White,Hybrid,Automatic,1.7,129001,105938,3288,Low
5 Series,2013,Asia,Blue,Hybrid,Automatic,3.8,45722,74501,6935,Low
M3,2016,Middle East,Blue,Electric,Manual,1.6,38412,81786,5058,Low
X6,2020,Asia,Black,Hybrid,Automatic,3.8,45712,90061,4643,Low
M5,2017,Middle East,Grey,Diesel,Automatic,2.8,55643,96914,4669,Low
i3,2014,South America,Grey,Diesel,Automatic,2.7,22417,98122,5178,Low
M5,2013,Asia,Silver,Diesel,Automatic,3.2,193534,70907,8254,High
M3,2011,South America,Grey,Petrol,Manual,4.5,137855,96941,6712,Low
M3,2015,North America,Grey,Electric,Automatic,1.9,167647,88780,4997,Low
3 Series,2020,Middle East,Red,Petrol,Manual,4.5,105037,73453,7286,High
i3,2024,South America,Blue,Hybrid,Manual,1.6,128016,107658,9124,High
X6,2018,South America,Grey,Diesel,Manual,2.6,40764,116735,4709,Low
i3,2021,Europe,Silver,Hybrid,Automatic,3.3,24238,111742,1482,Low
X3,2015,Middle East,Grey,Diesel,Automatic,4.7,134039,70672,6856,Low
M3,2012,Europe,White,Diesel,Manual,4.7,194359,93837,8190,High
7 Series,2013,Africa,Red,Diesel,Manual,3.9,143864,74401,9067,High
3 Series,2021,South America,Grey,Hybrid,Automatic,2.1,37246,112265,5726,Low
7 Series,2020,Asia,White,Petrol,Automatic,2.6,188234,71570,3284,Low
i8,2013,Europe,White,Hybrid,Automatic,3.2,110079,70118,7254,High
i3,2012,Middle East,Silver,Petrol,Automatic,3.6,53579,80919,2377,Low
3 Series,2012,South America,Silver,Petrol,Manual,2.8,137794,99478,520,Low
X1,2024,Europe,Grey,Diesel,Manual,4.0,87263,71666,8913,High
i3,2012,Africa,Red,Diesel,Manual,4.9,86785,99512,2353,Low
M5,2016,Africa,White,Diesel,Automatic,4.5,39593,109963,113,Low
X5,2013,Europe,White,Diesel,Automatic,3.0,162617,79299,2353,Low
X1,2010,Europe,Silver,Electric,Manual,2.5,97558,101553,1718,Low
3 Series,2017,Africa,Silver,Diesel,Manual,2.7,124960,115369,5481,Low
X6,2016,Europe,Black,Electric,Manual,1.6,28972,89763,7436,High
X5,2011,Europe,Blue,Petrol,Automatic,4.9,141616,117994,6327,Low
i3,2017,Asia,Black,Diesel,Manual,4.3,42089,99138,5415,Low
X5,2010,North America,Silver,Diesel,Manual,1.8,102510,107741,2737,Low
X5,2018,Asia,Black,Petrol,Manual,4.5,106246,72271,6300,Low
M3,2011,Africa,White,Hybrid,Manual,2.9,49603,80312,2792,Low
i3,2016,Middle East,Black,Hybrid,Manual,3.8,134173,89891,3901,Low
X6,2019,Africa,Grey,Hybrid,Manual,3.0,199006,116494,9003,High
3 Series,2012,Africa,Red,Electric,Automatic,2.3,190156,116827,9454,High
X6,2016,Africa,Grey,Petrol,Automatic,2.6,160714,115705,7064,High
i8,2018,Asia,Grey,Petrol,Manual,2.2,126505,92606,9586,High
i8,2013,Middle East,Silver,Hybrid,Automatic,3.4,149450,97301,9597,High
i8,2021,Africa,Black,Diesel,Manual,3.8,164473,102381,9156,High
3 Series,2011,North America,Grey,Hybrid,Automatic,4.1,146359,105042,2463,Low
X6,2023,South America,Grey,Petrol,Automatic,2.9,167411,94959,8066,High
X5,2021,Asia,Silver,Diesel,Manual,4.2,48241,106595,5829,Low
X3,2014,Middle East,White,Petrol,Automatic,4.7,95070,83106,6254,Low
7 Series,2014,North America,Silver,Electric,Automatic,3.6,182618,116107,7608,High
X3,2020,South America,Silver,Hybrid,Automatic,1.7,158566,114790,2156,Low
X1,2018,Asia,Blue,Diesel,Automatic,1.8,138433,112394,5095,Low
3 Series,2012,Europe,Blue,Diesel,Manual,2.2,154736,78565,3990,Low
5 Series,2012,Middle East,Blue,Electric,Automatic,3.0,121611,76420,6844,Low
X5,2017,Africa,Blue,Hybrid,Manual,2.9,110631,110049,1386,Low
3 Series,2015,North America,Blue,Petrol,Automatic,3.1,187396,71905,7571,High
3 Series,2017,South America,Silver,Electric,Manual,3.4,144332,102814,5037,Low
X3,2017,Europe,Red,Electric,Manual,3.2,84155,70778,8167,High
M5,2017,South America,Silver,Diesel,Manual,4.3,57377,91637,9121,High
i8,2013,Africa,Silver,Petrol,Manual,3.1,136263,116643,4751,Low
3 Series,2012,North America,White,Hybrid,Manual,3.8,110051,82258,9890,High
M5,2012,Europe,Black,Petrol,Automatic,3.7,124564,119792,3324,Low
i3,2022,North America,Black,Hybrid,Automatic,3.0,81603,115537,5387,Low
X6,2011,Africa,Red,Hybrid,Automatic,3.6,97667,81625,3309,Low
M3,2011,Middle East,Black,Diesel,Automatic,4.6,106672,101785,1625,Low
M5,2011,Africa,Red,Petrol,Automatic,2.5,41594,93495,489,Low
i3,2015,Asia,White,Hybrid,Manual,3.3,95364,91829,7118,High
M5,2012,Middle East,Red,Diesel,Manual,1.7,71227,114903,8924,High
X1,2022,South America,Black,Petrol,Automatic,2.3,26767,117363,642,Low
i3,2018,Africa,White,Hybrid,Automatic,4.2,27979,95982,4366,Low
M5,2013,Asia,White,Petrol,Automatic,1.9,170073,81725,1404,Low
X3,2014,South America,Silver,Petrol,Manual,4.5,35380,84387,6211,Low
X5,2017,South America,Black,Hybrid,Manual,3.3,42159,85852,5802,Low
X3,2016,Asia,Grey,Petrol,Automatic,3.1,143652,93537,5924,Low
5 Series,2010,Africa,Grey,Electric,Manual,3.1,127690,74267,2849,Low
5 Series,2021,Asia,White,Electric,Manual,1.7,21122,112462,5903,Low
i3,2012,Europe,Black,Hybrid,Automatic,2.3,183685,119952,9131,High
7 Series,2016,Africa,Red,Diesel,Manual,3.8,92316,85617,1909,Low
X6,2023,Europe,White,Hybrid,Automatic,3.3,54800,100512,9966,High
X5,2023,South America,Grey,Petrol,Manual,3.8,51128,94088,2930,Low
3 Series,2020,Middle East,Red,Petrol,Automatic,4.8,159467,76201,5760,Low
X6,2011,North America,Black,Diesel,Automatic,4.5,109348,85468,8241,High
i8,2014,Middle East,White,Diesel,Manual,4.7,144533,82911,4321,Low
M5,2024,Middle East,White,Hybrid,Automatic,2.1,43892,84569,4431,Low
7 Series,2010,Africa,Blue,Diesel,Automatic,2.7,185870,92721,7521,High
5 Series,2014,South America,Black,Diesel,Automatic,4.2,134531,87621,4611,Low
5 Series,2021,North America,Blue,Hybrid,Manual,2.3,194391,76581,6866,Low
i3,2012,Middle East,Red,Diesel,Manual,3.5,155164,118934,1818,Low
i3,2013,North America,Red,Electric,Automatic,3.6,167951,104651,1054,Low
3 Series,2012,South America,Red,Hybrid,Manual,4.8,135680,93319,3307,Low
5 Series,2021,Europe,Black,Electric,Automatic,4.4,82062,84946,2018,Low
i3,2014,South America,Red,Diesel,Manual,3.9,185012,74147,8800,High
i8,2015,Europe,Grey,Electric,Automatic,3.9,137116,71187,3942,Low
X6,2014,Asia,Black,Electric,Manual,1.9,114324,111758,7978,High
X3,2017,Europe,Red,Electric,Automatic,3.1,37926,112367,6565,Low
i8,2010,North America,Blue,Hybrid,Automatic,3.4,58700,94124,2613,Low
7 Series,2023,South America,Grey,Diesel,Manual,3.7,33111,102861,5453,Low
3 Series,2014,Middle East,Grey,Diesel,Manual,4.9,154711,76421,867,Low
i8,2024,Africa,White,Petrol,Manual,3.8,145740,97980,6665,Low
5 Series,2013,Africa,Grey,Petrol,Manual,1.7,164685,82139,1560,Low
i8,2022,Middle East,Black,Hybrid,Manual,3.5,36421,117586,5532,Low
M5,2014,Africa,Blue,Petrol,Automatic,2.9,109953,90079,6074,Low
7 Series,2010,South America,Blue,Hybrid,Automatic,3.4,169022,110072,3588,Low
X1,2011,Asia,Grey,Electric,Automatic,4.9,133987,98433,9105,High
X6,2024,Middle East,White,Electric,Manual,3.8,11344,113647,1983,Low
M5,2015,Middle East,Grey,Petrol,Automatic,2.6,166487,112693,5817,Low
5 Series,2019,Middle East,Silver,Petrol,Automatic,2.4,121797,100148,7231,High
M5,2012,Asia,Grey,Hybrid,Automatic,4.3,124001,82901,222,Low
X6,2011,South America,Blue,Petrol,Manual,3.0,169730,86385,9968,High
X5,2024,Europe,Blue,Petrol,Manual,3.4,82598,113709,8047,High
i8,2015,South America,Red,Petrol,Automatic,3.1,182742,80754,5839,Low
X3,2024,Europe,Red,Electric,Manual,4.7,1390,119117,7270,High
i8,2020,North America,Red,Diesel,Automatic,4.1,5405,108815,2879,Low
3 Series,2019,South America,Black,Hybrid,Manual,3.9,42467,102968,2165,Low
X6,2011,Africa,White,Diesel,Manual,4.8,35394,102034,4455,Low
X5,2019,Europe,Blue,Hybrid,Manual,2.5,36527,84856,2035,Low
3 Series,2020,South America,Silver,Diesel,Automatic,1.7,176625,117171,6688,Low
X3,2019,Africa,Black,Hybrid,Automatic,2.5,114886,70265,9879,High
i8,2012,Middle East,Red,Electric,Automatic,4.6,144778,108406,993,Low
7 Series,2018,Europe,Silver,Hybrid,Manual,2.9,16841,75628,8340,High
M3,2017,Africa,Silver,Hybrid,Manual,4.8,183782,100693,6324,Low
7 Series,2022,North America,Grey,Electric,Automatic,2.2,91013,89453,7795,High
7 Series,2021,Africa,Silver,Diesel,Manual,3.5,175240,82064,9362,High
i8,2019,North America,White,Petrol,Automatic,2.9,122500,96319,9080,High
7 Series,2016,Middle East,Silver,Hybrid,Automatic,4.2,179716,78386,1274,Low
7 Series,2018,Africa,Red,Electric,Automatic,2.0,176437,77426,2167,Low
X3,2013,Africa,Black,Electric,Automatic,3.0,159170,119954,6751,Low
M5,2013,Africa,Grey,Hybrid,Manual,2.9,33669,93884,6440,Low
7 Series,2010,North America,White,Petrol,Manual,1.7,56052,99698,992,Low
X6,2017,Africa,White,Electric,Automatic,4.0,53449,82740,1329,Low
i3,2012,Asia,Black,Petrol,Automatic,4.7,192413,114851,1342,Low
X3,2016,South America,Red,Electric,Automatic,1.9,136356,105711,1100,Low
X6,2011,North America,White,Electric,Automatic,1.6,129451,104447,6145,Low
X5,2016,Africa,Grey,Diesel,Automatic,3.1,13371,105070,4284,Low
X5,2024,Middle East,White,Hybrid,Automatic,4.3,78733,75419,5961,Low
X1,2015,Asia,Grey,Diesel,Automatic,2.1,199235,84022,1194,Low
i3,2012,Asia,Grey,Electric,Manual,4.4,25251,87697,4050,Low
X5,2018,Middle East,Red,Electric,Manual,3.8,50183,75390,8038,High
X5,2019,Middle East,Red,Hybrid,Manual,2.7,148760,93236,2693,Low
X5,2024,Africa,White,Petrol,Manual,3.3,93603,72936,2487,Low
3 Series,2022,Asia,Blue,Electric,Automatic,2.3,34532,90267,6372,Low
i8,2015,Middle East,Grey,Electric,Automatic,3.2,82478,80247,9537,High
i3,2019,Middle East,Grey,Diesel,Manual,3.7,183985,107396,9192,High
X5,2019,Asia,Red,Electric,Automatic,2.0,15812,76124,4646,Low
3 Series,2015,North America,Blue,Electric,Automatic,1.7,25425,119970,5377,Low
X1,2015,North America,Silver,Diesel,Manual,4.3,90089,103531,4441,Low
3 Series,2015,Europe,Silver,Electric,Automatic,1.7,110901,83776,3673,Low
i8,2020,Europe,Red,Diesel,Manual,3.0,93800,94038,5816,Low
X6,2017,North America,Silver,Hybrid,Manual,2.9,117113,74150,4425,Low
5 Series,2014,Africa,White,Electric,Automatic,4.8,58754,110517,3292,Low
X3,2021,Europe,Silver,Electric,Automatic,2.4,64002,116500,348,Low
i3,2016,Europe,Silver,Hybrid,Manual,4.6,33244,116918,2095,Low
3 Series,2022,Africa,White,Electric,Manual,2.0,28730,101189,8196,High
i8,2013,Middle East,Grey,Diesel,Automatic,3.6,39970,92250,6734,Low
M5,2023,Europe,Grey,Hybrid,Automatic,5.0,16692,99296,5943,Low
3 Series,2012,South America,Red,Hybrid,Automatic,3.0,122231,92873,5227,Low
M3,2016,South America,White,Diesel,Automatic,4.2,158898,86673,9443,High
7 Series,2013,Middle East,Red,Petrol,Manual,3.9,119461,109866,9809,High
7 Series,2021,Europe,Blue,Diesel,Manual,2.1,138657,113426,2659,Low
3 Series,2019,South America,Red,Diesel,Manual,4.7,188658,103473,5921,Low
X6,2021,Europe,White,Hybrid,Manual,4.1,57533,85638,3739,Low
X6,2019,Middle East,Blue,Electric,Automatic,3.6,179601,94664,1678,Low
i3,2016,North America,Grey,Petrol,Manual,2.8,107224,108265,9521,High
X6,2019,South America,Red,Electric,Manual,2.1,111839,73514,2768,Low
5 Series,2019,Middle East,Blue,Hybrid,Automatic,4.2,98318,108742,9219,High
i3,2014,South America,Blue,Petrol,Manual,2.6,85185,114354,7868,High
M5,2023,South America,Black,Hybrid,Manual,1.6,172797,73954,5084,Low
i8,2016,Middle East,White,Electric,Automatic,2.3,110324,105341,3727,Low
3 Series,2024,Africa,Red,Diesel,Automatic,3.9,29725,119038,7491,High
X3,2018,South America,Red,Petrol,Automatic,5.0,61899,91730,9606,High
M3,2021,Africa,Blue,Petrol,Automatic,1.5,11430,109949,6188,Low
5 Series,2010,Africa,Grey,Diesel,Manual,1.7,195818,96809,184,Low
X5,2019,North America,Silver,Electric,Automatic,2.9,20462,88937,3605,Low
X3,2010,Middle East,Red,Diesel,Automatic,4.7,10558,115843,5457,Low
X3,2024,Europe,Black,Diesel,Manual,1.8,185671,93151,4711,Low
7 Series,2023,North America,Black,Electric,Automatic,2.9,183830,97853,4886,Low
X3,2018,Africa,Black,Petrol,Manual,3.3,158539,88307,4847,Low
3 Series,2017,Europe,Black,Diesel,Automatic,1.6,153861,79362,9762,High
M5,2022,Middle East,Blue,Petrol,Automatic,4.6,53187,81354,784,Low
M3,2016,North America,Blue,Hybrid,Automatic,1.8,195192,119134,6570,Low
7 Series,2024,Asia,Red,Hybrid,Automatic,3.4,83608,113671,5644,Low
7 Series,2014,South America,Red,Hybrid,Automatic,4.4,69018,75481,4908,Low
i8,2015,Middle East,White,Hybrid,Automatic,5.0,123323,103534,2717,Low
X3,2012,Middle East,Silver,Diesel,Manual,3.9,186088,83549,2331,Low
i8,2019,Europe,Red,Electric,Manual,3.9,128625,107973,8455,High
5 Series,2012,Europe,Black,Electric,Manual,4.5,36826,106372,3803,Low
i3,2014,Asia,Black,Diesel,Manual,1.8,190726,100453,3316,Low
M5,2015,South America,Silver,Petrol,Automatic,1.9,32159,92285,6560,Low
3 Series,2018,Africa,Red,Electric,Manual,3.7,27967,95875,6984,Low
